timestamp,raw,normalizado,resultado,detalle
2026-05-21 11:46:29,434'01'004791,434-01-004791,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:47:51,434'01'004791,434-01-004791,OK,OK | OK | Cantidad 1/1 | Peso total esperado 0.8 | Peso con bolsa esperado 2.4 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:47:51,434'01'004792,434-01-004792,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:49:23,434'01'004792,434-01-004792,OK,OK | OK | Cantidad 1/1 | Peso total esperado 9.2 | Peso con bolsa esperado 10.8 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:49:23,434'01'004793,434-01-004793,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:50:13,434'01'004793,434-01-004793,OK,OK | OK | Cantidad 1/1 | Peso total esperado 0.2 | Peso con bolsa esperado 1.8 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:50:13,434'01'004794,434-01-004794,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:50:34,434'01'004794,434-01-004794,OK,OK | OK | Cantidad 1/1 | Peso total esperado 4.2 | Peso con bolsa esperado 5.8 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:50:34,434'01'004795,434-01-004795,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:50:49,434'01'004795,434-01-004795,OK,OK | OK | Cantidad 2/2 | Peso total esperado 32.0 | Peso con bolsa esperado 33.6 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:50:49,434'01'004796,434-01-004796,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:51:12,434'01'004796,434-01-004796,OK,OK | OK | Cantidad 2/2 | Peso total esperado 9.6 | Peso con bolsa esperado 11.2 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:51:12,434'01'004797,434-01-004797,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:51:21,434'01'004797,434-01-004797,OK,OK | OK | Cantidad 4/4 | Peso total esperado 4.7 | Peso con bolsa esperado 6.3 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-05-21 11:51:21,434'01'004798,434-01-004798,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-05-21 11:52:03,434'01'004798,434-01-004798,OK,OK | OK | Cantidad 1/1 | Peso total esperado 8.0 | Peso con bolsa esperado 9.6 | Peso bruto evidenciado None | Neto calculado None | Diff None
